Distance_(pixels),Gray_Value
0,57.444
1,56.853
2,48.856
3,49.208
4,50.908
5,60.142
6,83.111
7,97.837
8,96.631
9,91.175
10,71.618
11,92.050
12,87.787
13,84.513
14,74.029
15,64.067
16,71.210
17,80.134
18,86.032
19,86.903
20,76.082
21,64.462
22,60.408
23,57.562
24,68.829
25,74.887
26,68.271
27,68.338
28,80.618
29,86.985
30,82.282
31,83.313
32,85.500
33,87.850
34,92.035
35,100.926
36,108.349
37,104.477
38,93.699
39,87.554
40,88.757
41,90.197
42,95.954
43,101.326
44,92.849
45,90.089
46,107.840
47,96.386
48,102.139
49,114.993
50,119.051
51,119.189
52,121.448
53,122.206
54,121.280
55,122.120
56,122.550
57,123.486
58,124.219
59,123.668
60,122.603
61,121.282
62,121.421
63,121.931
64,121.543
65,121.362
66,124.238
67,127.056
68,126.002
69,119.564
70,109.127
71,164.785
72,202.255
73,198.679
74,186.505
75,152.328
76,130.839
77,125.669
78,117.246
79,115.848
80,111.901
81,160.930
82,186.673
83,153.729
84,125.408
85,114.511
86,121.974
87,123.806
88,122.210
89,122.402
90,124.200
91,126.180
92,125.095
93,118.777
94,109.305
95,152.172
96,201.710
97,205.618
98,212.947
99,240.514
100,252.535
101,247.245
102,247.395
103,249.653
104,250.597
105,252.349
106,251.276
107,237.636
108,146.240
109,110.446
110,119.800
111,127.715
112,129.346
113,129.738
114,118.506
115,120.599
116,123.830
117,135.191
118,142.076
119,133.905
120,131.812
121,131.815
122,129.670
123,116.060
124,135.228
125,178.073
126,178.263
127,130.449
128,111.551
129,118.601
130,136.095
131,151.399
132,126.040
133,114.430
134,125.142
135,124.053
136,125.662
137,125.338
138,116.096
139,126.284
140,129.119
141,123.258
142,125.996
143,126.634
144,125.578
145,123.076
146,112.530
147,101.133
148,97.522
149,94.709
150,90.023
151,91.109
152,96.339
153,102.904
154,112.841
155,119.308
156,113.878
157,101.228
158,91.350
159,95.161
160,99.749
161,79.951
162,65.636
163,65.127
164,68.350
165,64.063
166,67.924
167,68.337
168,65.945
169,69.647
170,73.441
171,78.549
172,81.197
173,78.490
174,75.588
175,80.676
176,94.872
177,108.899
178,110.697
179,100.019
180,85.691
181,72.175
182,61.191
183,61.705
184,70.973
185,79.839
186,84.447
187,83.064
188,86.262
189,99.045
190,103.766
191,102.648
192,103.834
193,111.418
194,118.566
195,99.945
196,73.529
197,65.653
198,59.840
199,63.432
200,79.764
201,91.546
202,94.189
203,85.356
204,72.132
205,60.472